parent_topic_family,subtopic_label_en,order_count,share_within_family_pct,keywords_pt,review_text_pt,review_text_en
Delivery timing,Delivered on or before expected date,5122,66.83194154488518,"produto, prazo, entregue, entregue prazo, produto entregue, prazo produto, qualidade, entrega prazo",Produto entregue dentro do prazo.,The product is delivered within the time limit.
Delivery timing,Fast delivery with positive feedback,1498,19.545929018789142,"rpida, entrega, entrega rpida, produto, produto entrega, rpida produto, entrega super, qualidade",Ótimo produto entrega super rápida,Great product delivery super fast
Delivery timing,Product receipt or mixed delivery feedback,910,11.873695198329854,"produto, recebi, comprei, veio, compra, recebi produto, entregue, prazo",AINDA NAO RECEBI O PRODUTO.,Still don't tell us about the product.
Mixed order and fulfilment experience,Non-receipt reported at review time,970,7.669803115363328,"recebi produto, recebi, produto recebi, avaliar, at recebi, produto avaliar, produto, produto at",ainda não recebi o produto,I haven't received the product yet
Mixed order and fulfilment experience,"Wrong, incompatible or mismatched product",904,7.147940222977782,"pelcula, celular, tela, capa, capinha, pelcula vidro, usb, vidro","não receci a capa do celular, nem o celular",I do not receive cell layer or cell layer
Mixed order and fulfilment experience,Late or slow delivery,780,6.167470546374634,"at, prazo, entrega, previso, prazo entrega, data, produto, recebi produto",Já passou o prazo de entrega e ainda não recebi meu produto,It's time for delivery and I haven't received my product yet.
Mixed order and fulfilment experience,"Product quality, defect or damage",770,6.088400411164703,"caixa, amassada, embalagem, veio, caixa veio, caixa produto, embalado, produto veio",Embalagem Não veio em uma caixa apenas em uma embalagem...,Packaging Not arrived in a box only in a pack...
Mixed order and fulfilment experience,Incomplete order or missing item,660,5.2186289238554595,"produtos, comprei produtos, comprei, produtos recebi, fretes, produtos iguais, iguais, compra produtos","Bom dia! Comprei dois produtos, mas só recebi um.","Good morning, I bought two products, but I only got one."
Mixed order and fulfilment experience,"Cancellation, refund or payment issue",571,4.514904720487072,"dinheiro, volta, dinheiro volta, devolver, recebi produto, produto, recebi, reembolso",Não recebi o produto e nem meu dinheiro de volta,I didn't get the product and neither my money back.
Mixed order and fulfilment experience,Seller/store service or communication,566,4.475369652882106,"loja, lannister, lojas, site, targaryen, contato, compro, recomendo",Eu ainda não recebi meu produto tentei entrar em contato várias vezes e ainda não tive uma resposta das lojas lannister,I haven't received my product yet I tried to contact several times and still didn't have a response from the Lannisters store
Mixed order and fulfilment experience,Postal delivery or collection issue,306,2.419546137423895,"correio, casa, correios, frete, retirar, buscar, paguei frete, residncia",O produto não foi entregue em minha casa tive que ir no correio para buscar Paguei o frete mais o correio não entregou na minha casa tive q ir buscar você deveria questionar o serviço dos correios,The product wasn't delivered in my house I had to go to the post office to look for Paguei frei but the post didn't deliver in my house had q go to search you should ask the mail service
Mixed order and fulfilment experience,Delivery timing with mixed sentiment,182,1.439076460820748,"dias, prazo, entrega, quase, ms, demorou, teis, dias teis",super recomendo o produto chegou 20 dias antes do prazo,above recommended product arrived 20 days before the deadline
Mixed order and fulfilment experience,Positive or mixed product feedback,138,1.0911678658970507,"mochila, bolsa, linda, bolsas, tima, amei, carteira, lindas",Linda bolsa,Linda
Mixed order and fulfilment experience,Not yet evaluated or uncertain receipt,102,0.8065153791412984,"natal, presente, presente natal, aniversrio, presente aniversrio, filha, criana, natal at",Não abrimos ainda. pois é um presente de natal,We haven't opened yet. Because it's a Christmas present.
Mixed order and fulfilment experience,Tax invoice or documentation issue,88,0.6958171898473946,"fiscal, nota fiscal, nota, fiscal produto, recebi nota, veio nota, fiscal veio, veio",Não veio a nota fiscal,I didn't see the tax note.
Product experience,Positive product quality and recommendation,2018,48.24288787951232,"produto, recomendo, qualidade, excelente, timo, recomendo produto, super, gostei","Recomendo,produto de boa qualidade.","I recommend, quality product."
Product experience,Wrong product colour,377,9.012670332297395,"cor, veio, comprei, veio cor, azul, errada, recebi, diferente",veio a cor errada,got the wrong color
Product experience,Liked or loved the product,373,8.917045182883099,"gostei, adorei, gostei gostei, amei, lindo, adorei gostei, linda, gostei adorei",Bom Gostei muito,"Well, I like it very much."
Product experience,Product not yet tested,306,7.3153239301936415,"testei, usei, produto, prazo, chegou, testar, entrega, testei produto","o produto chegou antes do prazo, ainda não testei.","The product arrived before the deadline, I haven't tried yet."
Product experience,Everything correct or recommended,259,6.191728424575663,"recomendo, excelente, ok, amei, prazo, timo, entrega, produto ok",Tudo ok! Produto ok! Entrega ok!,"All right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right!"
Product experience,Good value for money,191,4.566100884532632,"custo, preo, benefcio, custo benefcio, beneficio, custo beneficio, timo custo, timo",Bom custo - beneficio.,Good cost - benefit.
Product experience,Generic or low-information feedback,169,4.040162562754005,"otima, otima otima, otimo, otimo otima, otima otimo, otimo otimo, oitimo praso, curti otimo",otima,otima
Product experience,Positive product appearance,158,3.7771934018646904,"lindo, bonita, linda, lindos, so, amei, bonito, lindo lindo",Lindo!,Lindo!
Product experience,Product met expectations,124,2.9643796318431748,"expectativas, atendeu, atendeu expectativas, esperava, superou, superou expectativas, esperado, expectativa",Atendeu às expectativas,Waiting for the other participant's response
Product experience,Product received correctly or mixed feedback,99,2.366722448003825,"chegou, demorou, certinho, espectativas, recebi, chegar, chegou certinho, demorou chegou",Chegou certinho,Certified
Product experience,Non-receipt reported at review time,66,1.5778149653358835,"produto recebi, recebi produto, recebi, produto, retirar hj, recebi recebi, koolbloom recebi, koolbloom",Não recebi o produto,I did not receive the product
