topic_id,keywords_pt,example_number,review_text_pt,review_text_en
0,"recebi, comprei, produto, veio, recebi produto, at, pedido, entregue",1,Até agora não recebi o produto,
0,"recebi, comprei, produto, veio, recebi produto, at, pedido, entregue",2,não recebi não recebi o produto!,
0,"recebi, comprei, produto, veio, recebi produto, at, pedido, entregue",3,Meu produto ainda não fo Ainda não recebi meu produto.,
1,"prazo, chegou prazo, chegou, entrega prazo, prazo chegou, previsto, entrega, recebi prazo",1,chegou no prazo,
1,"prazo, chegou prazo, chegou, entrega prazo, prazo chegou, previsto, entrega, recebi prazo",2,Parabéns chegou antes do prazo,
1,"prazo, chegou prazo, chegou, entrega prazo, prazo chegou, previsto, entrega, recebi prazo",3,Chegou antes do prazo!!,
2,"qualidade, produto, recomendo, excelente, gostei produto, recomendo produto, produto recomendo, gostei",1,"Recomendo, produto de qualidade.",
2,"qualidade, produto, recomendo, excelente, gostei produto, recomendo produto, produto recomendo, gostei",2,recomendo produto de boa qualidade,
2,"qualidade, produto, recomendo, excelente, gostei produto, recomendo produto, produto recomendo, gostei",3,SUPER RECOMENDO Produto muito útil e ótima qualidade,
3,"chegou prazo, produto chegou, chegou, prazo, prazo produto, produto, previsto, qualidade",1,O produto chegou antes do prazo e em ótimas condições,
3,"chegou prazo, produto chegou, chegou, prazo, prazo produto, produto, previsto, qualidade",2,Produto chegou antes do prazo. Muito bom!,
3,"chegou prazo, produto chegou, chegou, prazo, prazo produto, produto, previsto, qualidade",3,O produto chegou antes do prazo.,
4,"loja, recomendo loja, lannister, comprar, lojas, recomendo, tima loja, lojas lannister",1,Muito bom recomendável está loja.,
4,"loja, recomendo loja, lannister, comprar, lojas, recomendo, tima loja, lojas lannister",2,ótima loja,
4,"loja, recomendo loja, lannister, comprar, lojas, recomendo, tima loja, lojas lannister",3,A loja está de parabéns.,
5,"entregue prazo, prazo produto, prazo, produto entregue, entregue, entrega prazo, produto, recomendo produto",1,Bom. Produto entregue no prazo.,
5,"entregue prazo, prazo produto, prazo, produto entregue, entregue, entrega prazo, produto, recomendo produto",2,Produto entregue antes do prazo e dentro das especificações. Recomendo.,
5,"entregue prazo, prazo produto, prazo, produto entregue, entregue, entrega prazo, produto, recomendo produto",3,Produto entregue antes do prazo! DHEA correspondente ao anúncio. Recomendo!,
6,"rpida, entrega rpida, rpida produto, rpido, entrega, entrega super, produto entrega, super rpida",1,Ótimo produto entrega super rápida,
6,"rpida, entrega rpida, rpida produto, rpido, entrega, entrega super, produto entrega, super rpida",2,Ótimo produto e entrega super rápida,
6,"rpida, entrega rpida, rpida produto, rpido, entrega, entrega super, produto entrega, super rpida",3,Ótimo produto e a entrega super rápida,
7,"recebi, produto, prazo, entregue, chegou, entrega, veio, recebi produto",1,"PRODUTO MUITO BOM, ENTREGUE ANTES DO PRAZO.",
7,"recebi, produto, prazo, entregue, chegou, entrega, veio, recebi produto",2,O PRODUTO FOI ENTREGUE BEM ANTES DO PRAZO,
7,"recebi, produto, prazo, entregue, chegou, entrega, veio, recebi produto",3,O PRODUTO AINDA NÃO FOI ENTREGUE NO PRAZO. O QUE EU FAÇO???,
8,"certo, combinado, conforme combinado, conforme, ok, timo, ocorreu, certinho",1,Tudo certo! Tudo ok!,
8,"certo, combinado, conforme combinado, conforme, ok, timo, ocorreu, certinho",2,Otimo Conforme combinado e sem estresse,
8,"certo, combinado, conforme combinado, conforme, ok, timo, ocorreu, certinho",3,tudo ok conforme o combinado,
9,"gostei, adorei, lindo, amei, linda, bonita, bonito, gostei gostei",1,Bom Gostei,
9,"gostei, adorei, lindo, amei, linda, bonita, bonito, gostei gostei",2,Gostei Bastante,
9,"gostei, adorei, lindo, amei, linda, bonita, bonito, gostei gostei",3,Gostei lindo,
10,"rpido, rpida, entrega rpida, rapido, chegou rpido, entrega, entrega super, super",1,bom e rapido,
10,"rpido, rpida, entrega rpida, rapido, chegou rpido, entrega, entrega super, super",2,muito rapido eficiencia mesmo espantoso,
10,"rpido, rpida, entrega rpida, rapido, chegou rpido, entrega, entrega super, super",3,Muito bom Muito bom e rapido,
11,"relgio, lindo, bonito, casio, caixa, veio, pulseira, comprei",1,Relógio é lindo,
11,"relgio, lindo, bonito, casio, caixa, veio, pulseira, comprei",2,Lindo relógio Ótima lindo..,
11,"relgio, lindo, bonito, casio, caixa, veio, pulseira, comprei",3,Lindo relógio! Um clássico!,
12,"luminrias, valeu, entrega, , , , , ",1,Muito bom,
12,"luminrias, valeu, entrega, , , , , ",2,Entrega Boa,
12,"luminrias, valeu, entrega, , , , , ",3,Boa Valeu,
13,"cor, veio cor, azul, produto cor, cor errada, errada, veio, rosa",1,"Comprei o produto na cor vermelha do anúncio e veio na cor preta. Não solicitarei troca pelo trabalho que vai dar e porque, independentemente da cor, a função na cor preta é a mesma.",
13,"cor, veio cor, azul, produto cor, cor errada, errada, veio, rosa",2,Médio Não recebi na cor que estava no anúncio,
13,"cor, veio cor, azul, produto cor, cor errada, errada, veio, rosa",3,"cor errada veio na cor errado, pedi uma cor e veio outro",
14,"recomendo, recomendo super, super recomendo, recomendo recomendo, super, otimo recomendo, recomendo otimo, timo recomendo",1,super recomendo super recomendo,
14,"recomendo, recomendo super, super recomendo, recomendo recomendo, super, otimo recomendo, recomendo otimo, timo recomendo",2,Recomendo Super recomendo!,
14,"recomendo, recomendo super, super recomendo, recomendo recomendo, super, otimo recomendo, recomendo otimo, timo recomendo",3,Recomendo Super recomendo,
15,"testei, usei, testar, instalei, aparentemente, teste, vou, testar produto",1,5 ainda não testei o produto.,
15,"testei, usei, testar, instalei, aparentemente, teste, vou, testar produto",2,Ainda não testei o produto,
