parent_topic_family,subtopic_id,keywords_pt,example_number,review_text_pt,review_text_en,subtopic_label_en
Mixed order and fulfilment experience,0,"loja, lannister, lojas, site, targaryen, contato, compro, recomendo",1,Eu ainda não recebi meu produto tentei entrar em contato várias vezes e ainda não tive uma resposta das lojas lannister,I haven't received my product yet I tried to contact several times and still didn't have a response from the Lannisters store,Seller/store service or communication
Mixed order and fulfilment experience,0,"loja, lannister, lojas, site, targaryen, contato, compro, recomendo",2,A loja é otíma O produto não me parece muito bom mais a loja eu recomendo,The store is great The product doesn't seem very good to me but the store I recommend,Seller/store service or communication
Mixed order and fulfilment experience,0,"loja, lannister, lojas, site, targaryen, contato, compro, recomendo",3,"Não recomendo Não recebi o produto, pois não recomendo esta loja, mais a responsabilidade é das lojas lannister","I don't recommend I didn't receive the product because I don't recommend this store, but responsibility is from the Lannister store",Seller/store service or communication
Mixed order and fulfilment experience,1,"at, prazo, entrega, previso, prazo entrega, data, produto, recebi produto",1,Já passou o prazo de entrega e ainda não recebi meu produto,It's time for delivery and I haven't received my product yet.,Late or slow delivery
Mixed order and fulfilment experience,1,"at, prazo, entrega, previso, prazo entrega, data, produto, recebi produto",2,Até o momento o produto não chegou. Está fora do prazo de entrega.,The product has not yet arrived. It is out of delivery time.,Late or slow delivery
Mixed order and fulfilment experience,1,"at, prazo, entrega, previso, prazo entrega, data, produto, recebi produto",3,já passou o prazo de entrega e o produto não chegou.,the delivery time has passed and the product has not arrived.,Late or slow delivery
Mixed order and fulfilment experience,2,"correio, casa, correios, frete, retirar, buscar, paguei frete, residncia",1,O produto não foi entregue em minha casa tive que ir no correio para buscar Paguei o frete mais o correio não entregou na minha casa tive q ir buscar você deveria questionar o serviço dos correios,The product wasn't delivered in my house I had to go to the post office to look for Paguei frei but the post didn't deliver in my house had q go to search you should ask the mail service,Postal delivery or collection issue
Mixed order and fulfilment experience,2,"correio, casa, correios, frete, retirar, buscar, paguei frete, residncia",2,"Paguei o frete mais o produto não chegou em minha casa, tive q ir buscar nos correios.","I paid the brother but the product didn't come to my house, I had q to go looking for the mail.",Postal delivery or collection issue
Mixed order and fulfilment experience,2,"correio, casa, correios, frete, retirar, buscar, paguei frete, residncia",3,Frete Paguei o frete até a minha casa e tive que retirar nos correios,Brother Pay the brother to my house and I had to take off the mail,Postal delivery or collection issue
Mixed order and fulfilment experience,3,"dinheiro, volta, dinheiro volta, devolver, recebi produto, produto, recebi, reembolso",1,Não recebi o produto e nem meu dinheiro de volta,I didn't get the product and neither my money back.,"Cancellation, refund or payment issue"
Mixed order and fulfilment experience,3,"dinheiro, volta, dinheiro volta, devolver, recebi produto, produto, recebi, reembolso",2,Não recebi o produto quero meu dinheiro de volta,I didn't get the product I wanted my money back,"Cancellation, refund or payment issue"
Mixed order and fulfilment experience,3,"dinheiro, volta, dinheiro volta, devolver, recebi produto, produto, recebi, reembolso",3,Quero meu dinheiro de volta,I want my money back,"Cancellation, refund or payment issue"
Mixed order and fulfilment experience,4,"recebi produto, recebi, produto recebi, avaliar, at recebi, produto avaliar, produto, produto at",1,ainda não recebi o produto,I haven't received the product yet,Non-receipt reported at review time
Mixed order and fulfilment experience,4,"recebi produto, recebi, produto recebi, avaliar, at recebi, produto avaliar, produto, produto at",2,Nao recebi meu produto at Nao recebi meu produto até agora,I don't receive my product at Nao I still get my product,Non-receipt reported at review time
Mixed order and fulfilment experience,4,"recebi produto, recebi, produto recebi, avaliar, at recebi, produto avaliar, produto, produto at",3,Não recebi o produto Não recebi o produto ainda,I didn't receive the product I didn't get the product yet,Non-receipt reported at review time
Mixed order and fulfilment experience,5,"pelcula, celular, tela, capa, capinha, pelcula vidro, usb, vidro",1,"não receci a capa do celular, nem o celular",I do not receive cell layer or cell layer,"Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,5,"pelcula, celular, tela, capa, capinha, pelcula vidro, usb, vidro",2,"O produto não corresponde ao que eu comprei, a película é muito menor que a tela do celular e não cobre toda a tela.","The product does not correspond to what I understand, the film is much smaller than the cell screen and does not cover the whole screen.","Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,5,"pelcula, celular, tela, capa, capinha, pelcula vidro, usb, vidro",3,Película menor do que a tela do celular,Less movie than cell screen,"Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,6,"recebi recebi, recebi, avaliar, opinar, recebi avaliar, avaliar recebi, at recebi, recebi at",1,Não recebi Não recebi,I didn't get it. I didn't get it. I didn't get it.,Non-receipt reported at review time
Mixed order and fulfilment experience,6,"recebi recebi, recebi, avaliar, opinar, recebi avaliar, avaliar recebi, at recebi, recebi at",2,Não recebi Não recebi,I didn't get it. I didn't get it. I didn't get it.,Non-receipt reported at review time
Mixed order and fulfilment experience,6,"recebi recebi, recebi, avaliar, opinar, recebi avaliar, avaliar recebi, at recebi, recebi at",3,Não recebi Ainda não recebi,I didn't get it yet I didn't.,Non-receipt reported at review time
Mixed order and fulfilment experience,7,"entrega, prazo, demora, longo, prazo entrega, demora entrega, muita demora, entrega longo",1,O prazo para entrega é muito longo.,The delivery time is too long.,Late or slow delivery
Mixed order and fulfilment experience,7,"entrega, prazo, demora, longo, prazo entrega, demora entrega, muita demora, entrega longo",2,O prazo de entrega podia ser menor!,The delivery time could be less!,Late or slow delivery
Mixed order and fulfilment experience,7,"entrega, prazo, demora, longo, prazo entrega, demora entrega, muita demora, entrega longo",3,Prazo Há diferença de prazo de entrega.,Time There is a difference between delivery time.,Late or slow delivery
Mixed order and fulfilment experience,8,"tamanho, pequeno, achei, cm, altura, pequena, bonito, largura",1,Achei o tamanho muito pequeno,I found the very small size,"Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,8,"tamanho, pequeno, achei, cm, altura, pequena, bonito, largura",2,Tamanho do Produto O tamanho poderia ser um pouco maior pelas referências que aparecem de tamanho.,Product size The size could be slightly larger by references that appear to be size.,"Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,8,"tamanho, pequeno, achei, cm, altura, pequena, bonito, largura",3,Bom. Sobre o tamanho mais específico. Faltou algumas peças.,"Okay, about the more specific size, some pieces are missing.","Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,9,"dias, prazo, entrega, quase, ms, demorou, teis, dias teis",1,super recomendo o produto chegou 20 dias antes do prazo,above recommended product arrived 20 days before the deadline,Delivery timing with mixed sentiment
Mixed order and fulfilment experience,9,"dias, prazo, entrega, quase, ms, demorou, teis, dias teis",2,Não gostei pois me deram 20 dias ÚTEIS e depois desses 20 dias meu produto não chegou,I didn't like it because they gave me 20 days UTEIS and after those 20 days my product didn't come.,Delivery timing with mixed sentiment
Mixed order and fulfilment experience,9,"dias, prazo, entrega, quase, ms, demorou, teis, dias teis",3,Entrega Rápida Recebi o produto com 20 dias de antecedência em relação ao prazo final de entrega. Recomendo,Quick delivery Receive the product with 20 days prior to the final delivery time. Recommended,Delivery timing with mixed sentiment
Mixed order and fulfilment experience,10,"produtos, comprei produtos, comprei, produtos recebi, fretes, produtos iguais, iguais, compra produtos",1,"Bom dia! Comprei dois produtos, mas só recebi um.","Good morning, I bought two products, but I only got one.",Incomplete order or missing item
Mixed order and fulfilment experience,10,"produtos, comprei produtos, comprei, produtos recebi, fretes, produtos iguais, iguais, compra produtos",2,Comprei dois produtos e recebi somente um.,I bought two products and only got one.,Incomplete order or missing item
Mixed order and fulfilment experience,10,"produtos, comprei produtos, comprei, produtos recebi, fretes, produtos iguais, iguais, compra produtos",3,Comprei dois produtos e só recebi um!,I bought two products and just got one!,Incomplete order or missing item
Mixed order and fulfilment experience,11,"cancelamento, compra, cancelar, cancelei, solicitei cancelamento, cancelamento compra, cancelado, solicitei",1,"Cancelamento de compra Solicitei o cancelamento da compra dentro do prazo de 07 dias (conforme rege o código de defesa do consumidor) e o cancelamento não foi efetuado, produto não entregue e o pagamento não foi estornado.","Cancellation of purchase Request the cancellation of purchase within the period of 07 days (according to the consumer's defence code) and cancellation was not made, product does not deliver and payment was not stolen.","Cancellation, refund or payment issue"
